加权排名,原始排名,排名变化,Twitter用户名,显示名称,加权总分,原始总分,分数增幅%,出现次数,平均排名,最高排名,最低排名,官方认证,蓝V认证,粉丝数,相关产品列表
11,12,1,BehrouzBoochani,Behrouz Boochani,2392.72,1629.61,46.83,43,121.0,4,337,,,78967,"Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus, Manus"
12,9,-3,mxvdxn,Dan Pradana,2301.79,1646.74,39.78,35,116.2,5,472,✓,,12138,"Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Midjourney v6, Veo 2, Veo 2, Veo 2, Veo 2, Midjourney V1 video model, Sora 2, Sora 2, Sora 2"
13,16,3,Google,Google,1826.36,1119.84,63.09,25,112.8,2,300,✓,,32791728,"Cursor, Gemini 2.0 Flash, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5"
14,13,-1,WuxiaRocks,WuxIA Rocks,1753.75,1268.23,38.28,45,161.3,16,291,✓,,6264,"Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1, Midjourney v1"
15,15,0,koltregaskes,Kol Tregaskes,1747.67,1130.24,54.63,41,205.5,4,486,✓,,15313,"Sora 1, Amazon Nova, Amazon Nova, Amazon Nova, Gemini 2.0 Flash, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, GPT-4o Image Generation, Claude 4, Claude 4, Claude 4, Claude 4, GPT-5, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, Sora 2, Sora 2"
16,17,1,gregisenberg,GREG ISENBERG,1723.69,1119.32,53.99,21,111.1,4,486,✓,,530642,"Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, GPT-4, GPT-4, GPT-4, GPT-4, ChatGPT Agent, Sora 2, Sora 2"
17,18,1,minchoi,Min Choi,1671.10,1060.03,57.65,17,72.4,4,268,✓,,319962,"Midjourney v1, Midjourney v1, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, GPT-4o Image Generation, GPT-4o Image Generation, GPT-4o Image Generation, GPT-4o Image Generation, ChatGPT Agent, ChatGPT Agent, Sora 2, Sora 2"
18,14,-4,satyanadella,Satya Nadella,1647.43,1134.24,45.25,16,38.2,2,90,✓,,3494385,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GPT-4, GPT-4, GPT-4.5, GPT-5, GPT-5"
19,20,1,testingcatalog,TestingCatalog News 🗞,1562.49,992.02,57.51,37,177.8,8,485,✓,,34948,"Sora 1, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Claude 3.5 Haiku, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Veo 2, Manus, Manus, Gemini 2.5, Gemini 2.5, Gemini 2.5, GPT-4o Image Generation, Cursor 1.0, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, Sora 2"
20,22,2,ArtificialAnlys,Artificial Analysis,1540.94,955.61,61.25,29,159.3,17,451,✓,,60488,"Midjourney v1, Midjourney v1, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Veo 2, Veo 2, Veo 2, Veo 2, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, GPT-4o Image Generation, Claude 4, Claude 4"
21,19,-2,emollick,Ethan Mollick,1501.44,998.90,50.31,18,101.2,3,432,✓,,290491,"GitHub Copilot, DALL-E 2, Gemini 1.0, Gemini 1.0, Sora 1, Amazon Nova, Amazon Nova, Gemini 2.0 Flash, Gemini 2.0 Flash, Veo 2, GPT-4o Image Generation, Claude 4, GPT-5, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent, Sora 2"
22,21,-1,super_bonochin,炎鎮🔥 - ₿onochin -,1491.73,971.87,53.49,47,240.5,21,485,✓,,19002,"GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5"
23,23,0,leerob,Lee Robinson,1461.82,944.21,54.82,28,149.5,6,353,✓,,196957,"GitHub Copilot, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Claude 4, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5"
24,24,0,Angaisb_,Angel 🌻,1388.11,905.33,53.33,28,186.9,11,476,✓,,5505,"DALL-E 2, DALL-E 3, Sora 1, Sora 1, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Claude 4, Claude 4, Claude 4, Claude 4, GPT-5, ChatGPT Agent, ChatGPT Agent, Sora 2"
25,25,0,btibor91,Tibor Blaho,1358.12,903.01,50.40,28,157.1,30,381,✓,,31609,"Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Amazon Nova, Amazon Nova, Amazon Nova, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4o Image Generation, GPT-4o Image Generation, GPT-4o Image Generation, GPT-5, ChatGPT Agent, Sora 2, Sora 2"
26,27,1,gigazine,GIGAZINE(ギガジン),1260.49,848.71,48.52,43,236.8,20,491,,,613564,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, Cursor, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, DALL-E 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Gemini 2.0 Flash, Gemini 2.5, Gemini 2.5, Gemini 2.5, GPT-5, GPT-5, GPT-5, Sora 2, Sora 2"
27,28,1,freddier,Freddy Vega,1259.73,832.65,51.29,38,210.3,2,458,✓,,312532,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, Cursor, Cursor, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, DALL-E 3, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5, Claude 4, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, GPT-5, Sora 2"
28,26,-2,jaguring1,小猫遊りょう（たかにゃし・りょう）,1249.28,870.65,43.49,22,159.4,12,485,,,31109,"Stable Diffusion v2, Stable Diffusion v2, Stable Diffusion v2, Stable Diffusion v2, Stable Diffusion v2, Stable Diffusion v2, Gemini 1.0, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Claude 3.5 Haiku, Veo 2, Veo 2, GPT-4.5"
29,29,0,levelsio,@levelsio,1171.63,770.44,52.07,26,201.0,11,444,✓,,735819,"Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, DALL-E 3, Stable Diffusion 3, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.5, GPT-5, Sora 2"
30,32,2,benln,Ben Lang,1017.47,671.88,51.44,40,260.7,17,470,✓,,67630,"Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Manus"
31,31,0,simonw,Simon Willison,1014.57,681.16,48.95,13,85.0,5,272,✓,,117283,"GitHub Copilot, GitHub Copilot, Amazon Nova, Amazon Nova, Amazon Nova, Amazon Nova, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, GPT-4o Image Generation, Claude 4, ChatGPT Agent"
32,30,-2,ashtom,Thomas Dohmke,1012.31,705.15,43.56,29,226.8,15,497,✓,,59807,"GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, GitHub Copilot, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.5"
33,38,5,OfficialLoganK,Logan Kilpatrick,1009.09,606.08,66.49,9,70.3,19,407,✓,,216323,"Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Veo 2, Veo 2, Veo 2, Gemini 2.5, Gemini 2.5, Gemini 2.5"
34,36,2,Rixhabh__,Rishabh,1007.24,648.50,55.32,16,140.8,6,435,✓,,85536,"Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.0 Flash, Gemini 2.5, Lovable 2.0, Lovable 2.0, Lovable 2.0, Lovable 2.0, Claude 4, Claude 4, GPT-5, ChatGPT Agent, ChatGPT Agent, ChatGPT Agent"
35,35,0,repligate,j⧉nus,946.16,650.28,45.50,13,109.0,10,469,✓,,59193,"Claude 1, Claude 1, Claude 1, Claude 1, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, Claude 3.5 Haiku, GPT-4.5, GPT-4.5, Gemini 2.5"
36,37,1,unusual_whales,unusual_whales,941.34,609.05,54.56,14,111.3,1,253,✓,,2526444,"Cursor, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, GPT-4, Genie 2, Gemini 2.5, Claude 4, Claude 4, Claude 4, GPT-5, GPT-5"
37,33,-4,minimaxir,Max Woolf,937.92,671.29,39.72,12,62.9,21,116,,,19292,"DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 2, DALL-E 3, Stable Diffusion 3, GPT-4o Image Generation"
